buyerId,firstName,lastName,email,paymentMethod
1,Christoph,Landrick,clandrick0@independent.co.uk,check
2,Darlene,MacGillicuddy,dmacgillicuddy1@e-recht24.de,cash
3,Debbie,Tinston,dtinston2@huffingtonpost.com,"credit card"
4,Jackson,Hyndley,jhyndley3@tiny.cc,cash
5,Caty,Saurin,csaurin4@miibeian.gov.cn,check
6,Timmi,Blanckley,tblanckley5@de.vu,check
7,Berkie,Halshaw,bhalshaw6@telegraph.co.uk,cash
8,Bobette,Falkingham,bfalkingham7@slideshare.net,check
9,Monah,McAne,mmcane8@hao123.com,check
10,Obadiah,Raunds,oraunds9@toplist.cz,check
11,Gilbertine,Speek,gspeeka@alexa.com,"credit card"
12,Peri,Evered,peveredb@scientificamerican.com,cash
13,Corinne,Ingledow,cingledowc@bluehost.com,"credit card"
14,Lutero,Rubi,lrubid@cbc.ca,"credit card"
15,Carolin,Kynsey,ckynseye@europa.eu,cash
16,Fabiano,Gregor,fgregorf@stanford.edu,"credit card"
17,Cedric,Tonn,ctonng@t.co,"credit card"
18,Manuel,Merryman,mmerrymanh@about.com,cash
19,Abel,Ley,aleyi@digg.com,check
20,Anabel,Bugdell,abugdellj@oakley.com,cash
21,Jonah,Eassom,jeassomk@mashable.com,check
22,Bill,Kinset,bkinsetl@hp.com,check
23,Robinet,Buddleigh,rbuddleighm@histats.com,cash
24,Roosevelt,Vlach,rvlachn@t.co,"credit card"
25,Granny,Ennever,gennevero@buzzfeed.com,"credit card"
26,Humfrey,Clelle,hclellep@edublogs.org,"credit card"
27,Raye,Gormally,rgormallyq@cbc.ca,"credit card"
28,Roseanne,Ingon,ringonr@fotki.com,check
29,Ernestine,Jeandet,ejeandets@godaddy.com,"credit card"
30,Heida,Vosper,hvospert@hc360.com,check
